"Top Level Organization","Opportunity Owner","Created By","Opportunity Name","Brand/Logo","Opportunity Record Type","Stage","? Estimated ACV","Expansion ACV Increase","?Opportunity Locations","Location Cohort","Created Date","Close Date","Age","Lead Source","Trade Show","Opportunity Notes","Loss Reason Notes","?Type of Contract","Count Balance","Count Base/Insights","Count Compass","Count Guard","Count Recover","Count Re-engage","Count TruROI","Count TruROI+","Count White Glove"
"Nara Thai","Charles Kagahastian","Charles Kagahastian","Nara Thai - Nara Thai -","Nara Thai","New Business","Closed Lost","4800.00","","4","SMB","10/31/2025","3/31/2026","151.0000000000","Outbound","","12/16/25: Call with Neal Parisawan (Nara Thai - Corporate) reviewed the value delivered by Loop?s Balance solution and related modules. Neal handles finance and business direction and confirmed satisfaction with the service, noting substantial time and CPA fee savings, increased dispute recovery, and ease of accounting. Neal is using existing review automation (Marquee) and has not yet engaged deeply with Loop?s marketing tools but may consider testing automated marketing in future.
Key Flag: Neal is considering an exclusivity deal with DoorDash, which, if accepted, would make multi-platform reconciliation (and thus Loop?s broader value prop) less relevant. Currently, terms with DoorDash are not agreed, so no immediate change, but Neal will reach out if the situation evolves. Renewal is set to auto-renew for one year; Neal is aware of the 60-day termination clause. No action required for now, but maintain open communication. Neal has authority to make renewal decisions. Possible follow-up in future depending on exclusivity decision outcome.
11/3/25: Neal Parisawan (Director of Insights at Kew, advising Nara Thai) was given a detailed walkthrough of Loop?s AI-based marketing and campaign automation solutions (True ROI Plus), emphasizing location-specific campaign recommendations and automated campaign deployment across third-party platforms. Neal expressed strong interest in the analytics and automation, especially the iterative AI optimization, and confirmed that early demo clients have seen positive results. Pricing was discussed ($150/location/month standard, with potential for $100/location for current clients pending VP approval).
Neal is also in talks with DoorDash about exclusivity but values partners who can support multi-platform flexibility and better data insights. There was discussion about potential partnership opportunities with Q and the possibility of white-labeling Loop?s analytics to ingest first-party (POS) data, which Neal indicated could be valuable.
Action items:
- Charles to send Neal the True ROI Plus deck and investigate the status of integrating or displaying first-party POS data (especially with Q).
- Neal remains interested but cites budget limitations and ongoing internal build-out of strategic data partnerships as a factor in timeline; decision-maker buy-in required at Kew/Nara Thai.
- Neal is already showing Loop?s platform to internal stakeholders, indicating advocacy and potential for broader opportunity if integration/white-label possibilities are developed.","unresponsive","Standard","0","0","0","0","0","0","0","1","0"
"One Table","Devyn Schwartzberg","Devyn Schwartzberg","One Table - Expansion - Tender Greens","Tender Greens","Expansion","Closed Won","54000.00","","30","MM","1/21/2026","1/21/2026","0.0000000000","Expansion","","","","Opt Out","0","0","0","0","0","0","0","0","0"
"R&R BBQ","Alexis Marrero","Alexis Marrero","R&R BBQ - Expansion - All Logos","","Expansion","Closed Won","10944.00","10944.00","","Unknown","2/19/2026","2/20/2026","1.0000000000","Expansion","","","","Standard","0","0","0","0","0","0","0","0","0"
"Savory Brands","James Chavious","James Chavious","Savory Brands - South Block - Balance upsell","South Block","New Business","New - Meeting Set","6732.00","","17","MM","6/13/2025","3/28/2026","266.0000000000","Expansion","","Pain & Impact Manual AR true-ups using 3PD net payout reports (time-consuming, error-prone). Sales-tax discrepancies between Toast and marketplaces; slow to isolate at transaction level. Incentivio volume creates additional reconciliation lift; desire to automate similarly to 3PD.","","Standard","0","0","0","0","0","0","0","0","0"
"Seoulspice","Alexis Marrero","Alexis Marrero","Seoulspice - Expansion - Seoulspice","Seoulspice","Expansion","Closed Won","600.00","","1","SMB","1/27/2026","1/27/2026","0.0000000000","Expansion","","","","Standard","1","0","0","0","0","0","0","0","0"
"Silvercreek Group LLC","Alexis Marrero","Alexis Marrero","Silvercreek Group LLC - Expansion - All Logos","","Expansion","Closed Won","180.00","180.00","","Unknown","1/12/2026","1/12/2026","0.0000000000","Expansion","","","","Standard","0","0","0","0","0","0","0","0","0"
"Silvercreek Group LLC","Alexis Marrero","Alexis Marrero","Silvercreek Group LLC - Expansion - Whataburger","Whataburger","Expansion","Closed Won","948.00","","1","SMB","1/7/2026","1/9/2026","2.0000000000","Expansion","","","","Standard","1","0","0","1","1","0","0","0","0"
"Smashburger","James Chavious","James Chavious","Smashburger - 3 loc add-on","Smashburger","Expansion","Closed Won","5004.00","","3","SMB","2/4/2026","2/4/2026","0.0000000000","Expansion","","","","Standard","1","0","0","1","1","1","1","0","0"
"Spice Digital","James Chavious","James Chavious","Spice Digital - Teleferic - 6","Teleferic","Expansion","Closed Won","4320.00","","6","SMB","1/30/2026","1/30/2026","0.0000000000","Expansion","","","","Standard","0","0","0","0","1","0","1","0","0"
"The Great Greek Mediterranean Grill","Sarra Herlich","Sarra Herlich","The Great Greek Mediterranean Grill - Expansion - The Great Greek Mediterranean Grill","The Great Greek Mediterranean Grill","Expansion","Closed Won","17799.00","17799.00","69","MM","1/6/2026","1/6/2026","0.0000000000","Expansion","","","","Standard","0","1","0","1","1","1","0","1","1"
"Tso Chinese","Alexis Marrero","Alexis Marrero","Tso Chinese - Expansion - Tso Chinese","Tso Chinese","Expansion","Closed Won","3000.00","3000.00","","Unknown","2/9/2026","2/9/2026","0.0000000000","Expansion","","","","Standard","1","0","0","0","0","0","0","0","0"
"Via 313 Pizzeria","Alex Reyes","Alex Reyes","Via 313 Pizzeria - Expansion - Via 313 Pizzeria","Via 313 Pizzeria","Expansion","Closed Won","43800.00","43800.00","23","MM","2/5/2026","2/5/2026","0.0000000000","Expansion","","","","Opt Out","1","0","0","1","0","0","0","1","0"
"Piada","Devyn Schwartzberg","Devyn Schwartzberg","Piada","Piada","New Business","Closed Won","74400.00","","62","MM","10/7/2025","2/23/2026","139.0000000000","Inbound","","11/13/25: Opportunity Notes:
Call with Nick Johnson and Jason Profitt from Piada, led by Devyn Schwartzberg. Focus areas were reconciliation, refund recovery, and marketing optimization. Piada currently uses Linked Eats for refund recovery (15% fee), but is interested in Loop's flat fee ($50/store/month) solution for both refund recovery and operational reporting. Reconciliation is a high priority for Piada, with intent to implement ASAP (targeting early December, before year-end). Marketing module ($100/store/month) discussed but needs further evaluation and sign-off from additional stakeholders (notably from Stephanie/marketing team). Piada leadership is especially focused on improving delivery margins, not just top-line sales growth. Agreed next steps: Devyn to send over detailed pricing/package options, ROI analysis, and schedule a follow-up call including marketing/ops stakeholders. Piada is attracted by the potential ROI, data-driven insights, and operational visibility offered by Loop. They are open to piloting the refund recovery solution for a couple of months to validate projected results. Cost/budget and internal alignment (esp. marketing) are key decision factors.","","Standard","1","0","0","0","1","0","0","0","0"
"Bandanas BBQ","Alexis Marrero","Alexis Marrero","Bandanas BBQ -  -","Bandanas BBQ","New Business","New - Meeting Set","29700.00","","25","MM","11/19/2025","3/31/2026","107.0000000000","Self Sourced","","12/17/25: Met with Dan Brueggemann (Bandana?s Bar-B-Q) to discuss Loop AI?s offerings compared to their current solution, Otter, for third-party delivery and chargeback management. Dan described their current process, highlighting minimal reconciliation effort due to automation via Toast and Restaurant 365, but acknowledged chargeback management is handled by Otter for a monthly flat fee plus a variable % of recovered amounts.
Dan is open to exploring Loop mainly to improve chargeback recovery/cost-efficiency and potentially operational reporting but is less interested in delivery marketing tools at this time, as Bandana?s currently does not invest in third-party marketing or promos. Delivery is viewed as a ?necessary evil,? representing ~10% of overall business (~$3M annually). Staffing is a higher priority for 2026.
Agreed next steps: Alexis to send follow-up recap/directions for a business analysis to compare Otter vs. Loop recovery results and costs, with an intent to regroup post-holiday. Dan will provide Otter recovery statements and investigate their security camera capabilities for potential integration. Decision on marketing tools likely to be tabled for now.","","Standard","0","0","0","0","0","0","0","0","0"
"Fork CPA","Alexis Marrero","Alexis Marrero","Fork CPA - Mala Project - 4","Mala Project","Expansion","Closed Won","2400.00","","4","SMB","2/20/2026","2/20/2026","0.0000000000","Expansion","","","","Standard","1","0","0","0","0","0","0","0","0"
"Fork CPA","Alexis Marrero","Alexis Marrero","Fork CPA - Expansion - Five Guys","Five Guys","Expansion","Closed Won","8400.00","","14","MM","1/2/2026","1/2/2026","0.0000000000","Expansion","","","","Standard","1","0","0","0","0","0","0","0","0"
"MAPS PH Management, LLC (DBA Pizza Hut)","Simon Salomon","Josue Sanchez","MAPS PH Management, LLC (DBA Pizza Hut) - Pizza Hut -","Pizza Hut","New Business","No Show","20400.00","","34","MM","1/16/2026","2/15/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Robek's","Peter Milillo","Peter Milillo","Robeks- Franchisee - 2","","New Business","New - Meeting Set","1200.00","","2","SMB","2/19/2026","3/25/2026","15.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"The Restaurant Assistant","Devyn Schwartzberg","Nick Barbo","The Restaurant Assistant","","New Business","Business Case","0.00","","","Unknown","10/29/2025","5/29/2026","128.0000000000","SDR","","","","Standard","1","0","0","0","0","0","0","0","0"
"El Pollo Loco","Devyn Schwartzberg","Tyrell Belle","El Pollo Loco - Corporate - 485","El Pollo Loco","New Business","Demo","300000.00","","500","Ent","1/8/2026","2/7/2026","57.0000000000","SDR","","1/14/26: Clark Matthews (CIO, El Pollo Loco) is the main contact; identified as decision-maker/influencer, but emphasizes El Pollo Loco's 70% franchisee structure, making any tech adoption complex and requiring alignment across accounting, marketing, and franchisees. Current priorities are focused on completing Symphony POS rollout (remaining 80 of 500 stores) and migrating off a legacy on-prem Lawson ERP (expected to change within 6 months). Clark is interested in Loop?s reconciliation and digital marketing solutions but is cautious due to past negative experiences with similar vendors and workload constraints. Requested concise materials, especially on reconciliation capabilities and case studies, to review internally with accounting and marketing. Not ready for aggressive next steps; prefers a slower approach?follow-up set for next Wednesday after internal review. Pricing discussed as modular, $20?low $100s/store/mo, with ROI validation via initial data sync. Key barriers: timing (current IT projects), franchisee buy-in, and demonstrating ROI/effort required.","","Standard","0","0","0","0","0","0","0","0","0"
"Jersey Mike's","James Chavious","Peter Milillo","Scott Kinsman- Jersey Mike's Subs - 3","","New Business","Demo","3564.00","","3","SMB","2/23/2026","3/25/2026","11.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Teriyaki Madness","Devyn Schwartzberg","Jon Van","Teriyaki Madness - Corporate - 156","Teriyaki Madness","New Business","Proposal","222768.00","","156","Ent","1/9/2025","5/30/2026","421.0000000000","Outbound","","","Have not gotten engagement from them","Standard","1","0","0","1","1","0","0","0","0"
"goop Kitchen","Matt Bullock","Jimmy Schrepel","goop Kitchen - goop Kitchen -","goop Kitchen","New Business","Demo","33600.00","","14","MM","2/2/2026","3/31/2026","32.0000000000","SDR","","2/4/26: - Prospect: goopKitchen (Melina Hsiao, Head of Technology). Opportunity owned by Matt Bullock.
- Current state: 14 locations (15th opening next week), ~80% of sales via third-party delivery; CA-only now, NY opening later this year; plan to ~double unit count by year-end. Works with FIX (likely using some Loop via FIX).
- Pain/needs: Wants aggregate third-party health metrics and ops insights (chargebacks/refunds, error root causes, downtime visibility) and better guidance on third-party marketing spend efficacy, esp. for newer/underperforming stores. Chargebacks handled manually; downtime mostly low, with some outages due to Olo?DoorDash prep time mismatches. Reconciliation not a top pain currently.
- Interest in Loop: Strong interest in Recover (chargeback automation/analytics) and True ROI (BI) initially; open to True ROI Plus later after internal trust-building. Guard understood; may revisit (downtime generally low). Requested ability to filter/analyze order-level timing anomalies (Olo fire/due vs DoorDash pickup/ETA); Matt to confirm feasibility (Loop is an Olo Rails partner).
- Marketing: Spend varies by location and stage; ~5?10% of 3P revenue, heavier at openings. Desire to identify effective campaigns, avoid cannibalization, and improve visibility without overspend.
- Pricing discussed: Recover $50/store/mo; True ROI (BI) $50/store/mo; True ROI Plus $150/store/mo; Guard $50/store/mo.
- Next steps: Melina to (1) provide current error rate and confirm what can be shared on 3P revenue dollars, (2) propose timing for a team demo (may be tight due to opening next week). Matt to send recap materials, follow up by Friday, and confirm feasibility of the requested order-level timing audit view (Olo + DoorDash data). Potential land: Recover + True ROI (BI) for initial rollout. Potential cross-sell later: Guard and True ROI Plus. Potential expansion aligned with planned unit growth.","","Standard","0","0","0","0","1","0","0","1","0"
"MPUT Holdings, LLC","Charles Kagahastian","Charles Kagahastian","MPUT Holdings, LLC - Marco's Pizza -","Marco's Pizza","New Business","Closed Lost","39000.00","","26","MM","10/20/2025","3/31/2026","162.0000000000","Self Sourced","","","unresponsive","Standard","1","1","0","1","1","1","1","0","0"
"CLA Accounting Firm","Simon Salomon","Josue Sanchez","CLA Accounting Firm -  -","","New Business","Demo","1188.00","","1","SMB","12/3/2025","2/27/2026","93.0000000000","SDR","","12/10/25: CLA Accounting Firm (opportunity owner: Simon Salomon) attended an introductory demo call on 2025-12-10 to evaluate Loop AI for streamlining third-party delivery bookkeeping and reconciliation for their restaurant/retail clients. Multiple CLA principals and team members joined (notably from their retail, QSR, and McDonald?s franchise practice areas). Key pain points raised included the time-consuming reconciliation process, manual report gathering, frequent variances, and tax compliance challenges?especially with franchise clients. 
Loop AI demonstrated integrations with QBO, Intacct, Restaurant365, and outlined automation for 3-way matching (third party, POS, bank), auto-coding to GL, bank reconciliation, tax calculation, and royalty fee automation for franchisees. Attendees responded positively to the relevance and potential efficiency gains. Additional interest shown in operational insights (error tracking, shift performance) for consultative services. 
Pricing and module options were briefly discussed (range: $30?$199/location/month plus implementation); firm discounts available. The CLA team will regroup internally and respond with feedback and next steps. Loop to follow up next week. Opportunity is progressing?potential for both internal use and as a value-add for CLA client services.","","Standard","0","0","0","0","0","0","0","0","0"
"PDQ","James Chavious","Jon Van","PDQ - Corporate - 75","PDQ","New Business","New - Meeting Set","89100.00","","75","Ent","1/9/2025","4/1/2026","421.0000000000","Trade Show","NRA","","","Standard","0","0","0","1","1","0","0","0","0"
"Tacombi","Sarra Herlich","Josue Sanchez","Tacombi - Tacombi -","Tacombi","New Business","Demo","10200.00","","17","MM","2/20/2026","3/22/2026","14.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Small's Sliders","Alexis Marrero","Alexis Marrero","Small's Sliders - Small's Sliders - 20","Small's Sliders","New Business","Demo","107460.00","","45","MM","1/17/2025","6/26/2026","413.0000000000","SDR","","12/22/25: Spoke with Kris Douglas from Small?s Sliders regarding Loop AI?s platform and capabilities. Kris confirmed delivery channel optimization is targeted for 2026, with Q1 not a likely window for a new initiative due to open store priorities. Interest remains in Loop?s solutions for third-party reconciliation (finance), marketing attribution/optimization for delivery platforms, and operational metrics (error rate, downtime, etc.). Small?s has 2 corporate and 43 franchise stores; reconciliation is handled for the corporate stores, with franchises using their own processes. Both national ad fund and franchisees are potential users for marketing tools. Kris will discuss internally to clarify whether finance or marketing has higher priority and expects a possible deep dive/discussion in Q2 2026. Action: Alexis to send recap and keep communication open for follow-up when priorities are clearer. No immediate next steps, but strong intent to re-engage in 2026.","wants to revisit end of year","","0","0","0","0","0","0","0","0","0"
"Hooters of America","James Chavious","James Chavious","Hooters of America","Hooters of America","New Business","Demo","90000.00","","150","Ent","1/23/2025","4/1/2026","407.0000000000","Other","","Current reliance on Otter has limitations in providing insights beyond basic recovery rates. 
 Losses tied to mismanaged tax attribution 
 Current methods lack automation, requiring manual reconciliation and journal entries. Spreadsheets and pivot tables 
 Existing tech stack includes Great Plains (2019), OLO, and Brink. 
 Loves we have a partnership with OLO tracking. 
 Order accuracy issues (e.g., missed items, incorrect modifiers) are common pain points, impacting guest satisfaction and loyalty. 
 A desire for operational insights by shift, store, and marketplace to drive improvements. 
 Third-Party Delivery (3PD represent 15% of the overall business, with two-thirds from 3PD and one-third first-party. 
 Focus on moving all 3PD operations through OLO and Brink 
 Marketing ROI Concerns: 
 Current reliance on DSPs for campaign success metrics feels biased and lacks transparency. 
 Interest in Loop?s ability to track marketing campaigns and evaluate their true ROI.","","","0","0","0","1","1","0","0","0","0"
"Fat Brands","Devyn Schwartzberg","Nick Barbo","Fat Brands","","New Business","Demo","0.00","","2300","Ent","1/23/2026","2/22/2026","42.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"WaWa","Devyn Schwartzberg","Nick Barbo","WaWa - Wawa - 1100","Wawa","New Business","Demo","2880000.00","","1200","Ent","10/31/2025","3/23/2026","126.0000000000","SDR","","2/13/26: Ops-focused working session with Wawa (Ed Siegfried, Dana Voss, James P). Loop presented Ops ?State of the Union? findings:
- Current SOTU ? 51?52; primary gap is high error rate (~8%) vs best-in-class ~2.5%. 83% of errors are inaccurate orders; ~80% of those are simple grab?and?go items (bottled drinks, chips, snacks). Multi?zone picking, beverage/gallon/ice not bagged are key root causes. Error rates spike with item count and zones.
- Wawa acknowledged gap; rolling out a ?pick & pack? scanning app (target impact starting Q3) to guide associates, enable substitutions/refunds later, and capture root-cause data. Today, limited OOS locking and no real-time substitution; minimal customer contact; ad hoc process.
- Loop proposed weekly SOTU/leaderboard reporting, CCTV analysis for SOP breakdowns, store/geo benchmarking (NJ better; VA higher volume correlates with more errors), and revenue recovery via dasher dispute for missed bulky items.
- Next steps: Loop to send presentation + store distribution list and augment analysis (normalize by volume, Wednesday spike, example SOTU report). Marketing deep dive scheduled Tuesday; Devyn to present POC scope (60?90 days), ROI modeling (rev recovery est. >$3M systemwide) and store selection. Finance to be brought in after scope alignment (esp. for revenue recovery); cautious inclusion on marketing. Potential onsite visit post-initial finance sync.
- Change mgmt: start with central insights (Dana/James + select engaged area mgrs), avoid mixed messaging with pick & pack; move toward accountability once app/data in place.
1/30/26: - Meeting: 3PD Marketing Deep Dive with Wawa (Dana Voss, Katie Delinski, Ed Siegfried, James P; Devyn leading). Focus areas: Marketing efficiency and Refund Recovery.
- Downtime follow-up: ~20% of downtime due to system-wide outages; reduces estimated monthly sales loss from ~$267K to ~ ~$213?227K; overall downtime ~1.1% vs 1.0% target. Devyn to update slide and resend.
- Refund Recovery: Wawa interested in POC. Proposed scope: 150?200 stores, ~60 days, randomized/representative mix (not only worst stores). Primary success: net dollars recovered vs cost; secondary: operational reporting utility. Loop to deliver a ?State of the Union? report using Wawa data (store trends, M&I, error insights) for review before looping in Store Ops. Ops reporting likely used internally first due to reporting fatigue at stores.
- Marketing: Wawa wants to optimize spend for profitability and transactions, not reduce total spend. Key needs:
 - Improve budget allocation across stores/platforms; avoid cannibalization; focus by store on visibility, retention, and competition.
 - New markets (e.g., Ohio): prioritize transaction growth in first 60?90 days; later shift to margin optimization.
 - Leadership metrics: incremental transactions and bottom-line sales vs organic; ROAS alone is insufficient. Loop to provide attribution breakdown (organic vs ads vs promos vs both).
 - Contracting/co-funding: DoorDash ~10% plus-ups (20%+ for big events), loyalty retention excluded; broad flexibility on where/when to spend; annual commitments (e.g., Uber $3M by 4/30). Some platform friction on month-to-month ?locked? budgets, but resolved.
 - Implementation: Loop can auto-set campaigns via APIs or provide promo lists to submit to platforms; cadence typically 2-week plan runs and reviews. Dayparting is lower priority vs visibility/retention/competition.
- Targets: Wawa committed to ~13% all-in sales growth (incl. NROs); would view ~17% sales growth and +200 bps profit to bottom line as a win.
- Next steps (Loop):
 - Send updated downtime impact slide.
 - Deliver State of the Union report for selected store cohort and propose Refund Recovery POC plan (scope, timeline, metrics).
 - Build initial marketing plan/modeling: budget redistribution, expected impact, confidence bands; include pricing proposal.
 - Request marketplace contracts for modeling constraints.
 - Timeline: ~1?1.5 weeks to return materials (Devyn to confirm).
- Budget tracking: Wawa tracks promos via internal spreadsheet; finance trues up via P&L; platform billing varies (DD often netted from payouts; Uber mostly netted; GH invoiced).
11/10/25: Call with Wawa team (Ed Siegfried, James P, Dana Friedman, Katie Delinski) focused on Wawa?s third-party delivery business and challenges around reporting, reconciliation, refunds, downtime, and marketing effectiveness. Wawa?s 3P channel is currently less than 10% of sales but growing rapidly; internal alignment on channel investment is still evolving. Refund losses are at ~2.5% of delivery revenue, with some success in recouping 1P refunds but not 3P. Reporting and reconciliation are mostly manual, with identified pain points around taxes, cart adjustments, double accounting, promotions, and order-level data integrity (especially as business complexity increases). Operations and marketing data is currently spread across systems and requires significant manual work. Wawa?s team is interested in solutions to automate disputing refunds, reconciliation at the transaction level (with SAP tie-in), downtime mitigation, and marketing optimization (store-level visibility, retention cohorting, and ad placement efficiency). Team responded positively to the demo and indicated interest in next steps, particularly around accounting/reconciliation and refund automation. Deck and recap to be sent; follow-up suggested before Thanksgiving.","","Standard","1","0","0","1","1","0","1","0","0"
"Jim 'N Nick's Bar-B-Q","Matt Bullock","Matt Bullock","Jim 'N Nick's Bar-B-Q - Jim 'N Nicks - 59","Jim 'N Nicks","New Business","Demo","70800.00","","59","MM","6/2/2025","3/31/2026","277.0000000000","Self Sourced","","off-shore service (not sure on name) going after chargebacks.. manually reconciling w/ Excel sheets rn","","Standard","1","0","0","0","1","0","0","0","0"
"BRIX Holdings","Devyn Schwartzberg","Nick Barbo","BRIX Holdings","","New Business","Demo","150000.00","","250","Ent","10/15/2025","4/16/2026","142.0000000000","SDR","","10/17/25: Introductory call with John Genest and Jean from a Friendly?s franchise group representing 30 locations. Both handle ops/chargebacks; currently manage all third-party delivery in-house (DoorDash, Uber Eats, etc.), with ~20% of total rev from third-party. Key pain points: time-consuming manual chargeback recovery (approx. 60% win rate, esp. with Uber), operational downtime (receive some notifications but not all), unreliable reporting from portals, reconciliation challenges (using QuickBooks, 30 bank accounts, some notable variances, currently handled manually), limited store-level analytics (some monthly reports, not deeply actionable per store/shift/item). No current local marketing spend; all controlled via franchisor/master agreements.
Loop?s platform demoed: delivery P&L visibility, automatic refund recovery (for all sources, including missed/cancelled orders), real-time downtime monitoring/reactivation, accounting & QuickBooks integration, actionable store-level ops reporting, and AI-driven marketing optimization. Strong emphasis on labor savings, recovered revenue, data-driven ops improvement, and tax/royalty reconciliation. Cost: $60?$150/location/month depending on modules; annual contract (no early termination fee beyond standard SaaS clauses).
Attendees are interested, see process fit, but cost and ROI are major concerns due to slim margins and the current focus on cost cutting (seasonal and regional pressures). Requested a recap, proposal with module-based pricing, and a pilot or ROI analysis based on provided store data/numbers. Next step: Devyn to send summary, pricing options, and request necessary info for projected impact analysis. No decision-makers above current attendees, but internal diligence needed. No indication of other Friendly?s orgs on Loop yet; John expressed interest in piloting before wider rollout.","","Standard","1","0","0","1","1","0","1","0","0"
"Orginal Chopshop","Devyn Schwartzberg","Devyn Schwartzberg","Orginal Chopshop - Expansion - All Logos","","Expansion","Closed Won","16200.00","","27","MM","3/4/2026","3/4/2026","0.0000000000","","","","","Standard","0","0","0","0","1","0","0","0","0"
"Zaxby's","Devyn Schwartzberg","Devyn Schwartzberg","Zaxby's - Corporate","Zaxby's","New Business","Proposal","107880.00","","155","Ent","8/8/2025","3/30/2026","210.0000000000","Inbound","","","","Standard","0","0","0","1","1","0","0","0","0"
"Rucker Restaurant Holdings","Devyn Schwartzberg","Peter Milillo","Rucker Restaurant Holdings - Corporate - 90","","New Business","No Show","54000.00","","90","Ent","2/10/2026","4/28/2026","77.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"The International Restaurant Management Group (IRMG)","Simon Salomon","Simon Salomon","The International Restaurant Management Group (IRMG) -","","New Business","Demo","0.00","","","Unknown","1/27/2026","2/26/2026","38.0000000000","Self Sourced","","","","Standard","0","0","0","0","0","0","0","0","0"
"Fake Franchise Group","Jon Van","Jon Van","Fake Franchise Group - Fake Pizza Place - 2","Fake Pizza Place","New Business","New - Meeting Set","1200.00","","2","SMB","2/24/2026","3/11/2026","10.0000000000","Inbound","","","","Standard","0","0","0","1","1","0","0","0","0"
"WonLife Brands","James Chavious","James Chavious","WonLife Brands - TLO Opp","","New Business","Demo","34272.00","","24","MM","2/27/2025","4/1/2026","372.0000000000","Inbound","","6 corp locs, 18 franchisees","","","0","0","0","0","0","0","0","0","0"
